School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
BALTIMORE POLYTECHNIC INSTITUTE,Maryland,MD ,Baltimore Polytechnic Institute,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,1522,1522,71,1061,270,1522,713,809,MARYLAND,77.5,19.64
BALTIMORE SCHOOL FOR THE ARTS,Maryland,MD ,Baltimore School for the Arts,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,391,391,18,185,160,391,134,257,MARYLAND,24.6,15.89
BANNEKER BLAKE ACADEMY FOR ARTS AND SCIENCES,MARYLAND,MD ,Banneker Blake Academy for Arts and Sciences,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,2-Middle,78,78,1,77,0,78,78,0,MARYLAND,7,11.14
BANNOCKBURN ELEMENTARY,Maryland,MD ,Bannockburn Elementary,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,1-Primary,420,420,46,11,283,420,223,197,MARYLAND,23.1,18.18
BARACK OBAMA ELEMENTARY,Maryland,MD ,Barack Obama Elementary,Prince George's County,UPPER MARLBORO,MD ,1-Regular school,2-No,2-No,1-Primary,637,637,4,585,9,637,318,319,MARYLAND,35.94,17.72
BARBARA INGRAM SCHOOL FOR THE ARTS,Maryland,MD ,Barbara Ingram School for the Arts,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,3-High,287,287,6,27,217,287,79,208,MARYLAND,19.54,14.69
BARCLAY ELEMENTARY/MIDDLE,Maryland,MD ,Barclay Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,460,460,12,413,10,460,217,243,MARYLAND,27,17.04
BARD HIGH SCHOOL EARLY COLLEGE,MARYLAND,MD ,Bard High School Early College,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,163,163,0,123,30,163,70,93,MARYLAND,10,16.3
BARNABY MANOR ELEMENTARY,Maryland,MD ,Barnaby Manor Elementary,Prince George's County,OXON HILL,MD ,1-Regular school,2-No,2-No,1-Primary,461,461,4,367,2,461,222,239,MARYLAND,25.88,17.81
BARSTOW ELEMENTARY,Maryland,MD ,Barstow Elementary,Calvert County,PRINCE FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,598,598,8,155,346,598,306,292,MARYLAND,37.6,15.9
BATTLE GROVE ELEMENTARY,Maryland,MD ,Battle Grove Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,336,336,2,60,223,336,173,163,MARYLAND,24.3,13.83
BATTLE MONUMENT SCHOOL,Maryland,MD ,Battle Monument School,Baltimore County,BALTIMORE,MD ,2-Special education school,2-No,2-No,4-Other,72,72,2,22,41,72,49,23,MARYLAND,24.7,2.91
BAY VIEW ELEMENTARY,Maryland,MD ,Bay View Elementary,Cecil County,NORTH EAST,MD ,1-Regular school,2-No,2-No,1-Primary,609,609,11,55,477,609,345,264,MARYLAND,40.9,14.89
BAY-BROOK ELEMENTARY,Maryland,MD ,Bay-Brook Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,436,436,1,321,27,436,215,221,MARYLAND,27,16.15
