School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
LIBERTY HIGH,Maryland,MD ,Liberty High,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,3-High,1095,1095,24,24,969,1095,584,511,MARYLAND,62,17.66
LILLIE MAY CARROLL JACKSON SCHOOL,MARYLAND,MD ,Lillie May Carroll Jackson School,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,2-Middle,83,83,0,82,1,83,0,83,MARYLAND,3,27.67
LIME KILN MIDDLE,Maryland,MD ,Lime Kiln Middle,Howard County,FULTON,MD ,1-Regular school,2-No,2-No,2-Middle,718,718,187,85,351,718,362,356,MARYLAND,48.2,14.9
LINCOLN ELEMENTARY,Maryland,MD ,Lincoln Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,573,573,23,213,131,573,283,290,MARYLAND,43.69,13.12
LINCOLNSHIRE ELEMENTARY,Maryland,MD ,Lincolnshire Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,620,620,13,95,394,620,298,322,MARYLAND,39.82,15.57
LINDALE MIDDLE,Maryland,MD ,Lindale Middle,Anne Arundel County,LINTHICUM,MD ,1-Regular school,2-No,2-No,2-Middle,962,962,55,238,500,962,508,454,MARYLAND,71.5,13.45
LINGANORE HIGH,Maryland,MD ,Linganore High,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,3-High,1432,1432,32,36,1238,1432,734,698,MARYLAND,71,20.17
LINTHICUM ELEMENTARY,Maryland,MD ,Linthicum Elementary,Anne Arundel County,LINTHICUM,MD ,1-Regular school,2-No,2-No,1-Primary,445,445,19,16,366,445,211,234,MARYLAND,30.5,14.59
LINTON SPRINGS ELEMENTARY,Maryland,MD ,Linton Springs Elementary,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,627,627,27,12,540,627,309,318,MARYLAND,36.8,17.04
LISBON ELEMENTARY,Maryland,MD ,Lisbon Elementary,Howard County,WOODBINE,MD ,1-Regular school,2-No,2-No,1-Primary,427,427,13,15,336,427,210,217,MARYLAND,31,13.77
LITTLE BENNETT ELEMENTARY,Maryland,MD ,Little Bennett Elementary,Montgomery County,CLARKSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,643,643,197,117,195,643,323,320,MARYLAND,35.9,17.91
LOCH RAVEN HIGH,Maryland,MD ,Loch Raven High,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,876,876,44,345,427,876,449,427,MARYLAND,53.5,16.37
LOCH RAVEN TECHNICAL ACADEMY,Maryland,MD ,Loch Raven Technical Academy,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,2-Middle,756,756,42,493,140,756,356,400,MARYLAND,49.2,15.37
LOCKERMAN BUNDY ELEMENTARY,Maryland,MD ,Lockerman Bundy Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,276,276,0,273,1,276,128,148,MARYLAND,14.5,19.03
LOCKERMAN MIDDLE SCHOOL,Maryland,MD ,Lockerman Middle School,Caroline County,DENTON,MD ,1-Regular school,2-No,2-No,2-Middle,830,830,5,74,564,830,427,403,MARYLAND,53,15.66
LOGAN ELEMENTARY,Maryland,MD ,Logan Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,585,585,2,189,276,585,284,301,MARYLAND,38,15.39
LOIS P. ROCKWELL ELEMENTARY,Maryland,MD ,Lois P. Rockwell Elementary,Montgomery County,DAMASCUS,MD ,1-Regular school,2-No,2-No,1-Primary,459,459,54,51,220,459,232,227,MARYLAND,31.3,14.66
LOIS T. MURRAY ELEMENTARY,Maryland,MD ,Lois T. Murray Elementary,Baltimore city,BALTIMORE,MD ,2-Special education school,2-No,2-No,1-Primary,51,51,0,40,5,51,36,15,MARYLAND,–,–
LONG REACH HIGH,Maryland,MD ,Long Reach High,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,3-High,1483,1483,215,516,417,1483,749,734,MARYLAND,107.9,13.74
LONGFELLOW ELEMENTARY,Maryland,MD ,Longfellow Elementary,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,1-Primary,471,471,44,176,109,471,241,230,MARYLAND,40,11.78
LONGFIELDS ELEMENTARY,Maryland,MD ,Longfields Elementary,Prince George's County,FORESTVILLE,MD ,1-Regular school,2-No,1-Yes,1-Primary,368,368,2,297,3,368,201,167,MARYLAND,24.54,15
LONGVIEW SCHOOL,Maryland,MD ,Longview School,Montgomery County,GERMANTOWN,MD ,2-Special education school,2-No,2-No,4-Other,52,52,7,13,18,52,24,28,MARYLAND,11.6,4.48
LOTHIAN ELEMENTARY,Maryland,MD ,Lothian Elementary,Anne Arundel County,LOTHIAN,MD ,1-Regular school,2-No,2-No,1-Primary,465,465,0,59,298,465,240,225,MARYLAND,31.1,14.95
LUCY V. BARNSLEY ELEMENTARY,Maryland,MD ,Lucy V. Barnsley Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,1-Yes,1-Primary,710,710,97,68,271,710,410,300,MARYLAND,47.4,14.98
LUTHERVILLE LABORATORY,Maryland,MD ,Lutherville Laboratory,Baltimore County,LUTHERVILLE,MD ,1-Regular school,2-No,1-Yes,1-Primary,420,420,62,46,256,420,213,207,MARYLAND,27.7,15.16
LUXMANOR ELEMENTARY,Maryland,MD ,Luxmanor Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,429,429,103,47,167,429,212,217,MARYLAND,28.9,14.84
LYNDHURST ELEMENTARY,Maryland,MD ,Lyndhurst Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,342,342,1,331,3,342,176,166,MARYLAND,16.5,20.73
LYONS MILL ELEMENTARY,MARYLAND,MD ,Lyons Mill Elementary,Baltimore County,OWINGS MILLS,MD ,1-Regular school,2-No,2-No,1-Primary,625,625,57,478,35,625,326,299,MARYLAND,37.4,16.71
MACARTHUR MIDDLE,Maryland,MD ,MacArthur Middle,Anne Arundel County,FORT MEADE,MD ,1-Regular school,2-No,2-No,2-Middle,1046,1046,45,547,240,1046,530,516,MARYLAND,85.98,12.17
MACE'S LANE MIDDLE SCHOOL,Maryland,MD ,Mace's Lane Middle School,Dorchester County,CAMBRIDGE,MD ,1-Regular school,2-No,2-No,2-Middle,535,535,11,296,148,535,285,250,MARYLAND,40,13.38
MAGNOLIA ELEMENTARY,Maryland,MD ,Magnolia Elementary,Prince George's County,LANHAM,MD ,1-Regular school,2-No,2-No,1-Primary,484,484,36,337,28,484,236,248,MARYLAND,29.9,16.19
MAGNOLIA ELEMENTARY,Maryland,MD ,Magnolia Elementary,Harford County,JOPPA,MD ,1-Regular school,2-No,2-No,1-Primary,500,500,1,285,91,500,242,258,MARYLAND,34.2,14.62
MAGNOLIA MIDDLE,Maryland,MD ,Magnolia Middle,Harford County,JOPPA,MD ,1-Regular school,2-No,2-No,2-Middle,761,761,11,352,269,761,403,358,MARYLAND,58.5,13.01
MAGOTHY RIVER MIDDLE,Maryland,MD ,Magothy River Middle,Anne Arundel County,ARNOLD,MD ,1-Regular school,2-No,2-No,2-Middle,751,751,23,46,581,751,385,366,MARYLAND,50.48,14.88
MAIDEN CHOICE SCHOOL,Maryland,MD ,Maiden Choice School,Baltimore County,BALTIMORE,MD ,2-Special education school,2-No,2-No,4-Other,115,115,9,64,32,115,73,42,MARYLAND,17.2,6.69
MALCOLM ELEMENTARY SCHOOL,Maryland,MD ,Malcolm Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,427,427,3,164,194,427,212,215,MARYLAND,26.5,16.11
MANCHESTER ELEMENTARY,Maryland,MD ,Manchester Elementary,Carroll County,MANCHESTER,MD ,1-Regular school,2-No,2-No,1-Primary,603,603,11,12,541,603,326,277,MARYLAND,38.5,15.66
MANCHESTER VALLEY HIGH,Maryland,MD ,Manchester Valley High,Carroll County,MANCHESTER,MD ,1-Regular school,2-No,2-No,3-High,761,761,12,20,702,761,367,394,MARYLAND,47,16.19
MANOR VIEW ELEMENTARY,Maryland,MD ,Manor View Elementary,Anne Arundel County,FT MEADE,MD ,1-Regular school,2-No,2-No,1-Primary,309,309,7,93,143,309,161,148,MARYLAND,22.1,13.98
MANOR WOODS ELEMENTARY,Maryland,MD ,Manor Woods Elementary,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,1-Primary,704,704,288,44,310,704,381,323,MARYLAND,46.2,15.24
MAPLE ELEMENTARY SCHOOL,Maryland,MD ,Maple Elementary School,Dorchester County,CAMBRIDGE,MD ,1-Regular school,2-No,2-No,1-Primary,466,466,14,273,102,466,248,218,MARYLAND,40,11.65
MARDELA MIDDLE & HIGH,Maryland,MD ,Mardela Middle & High,Wicomico County,MARDELA SPRINGS,MD ,1-Regular school,2-No,2-No,4-Other,667,667,0,99,508,667,328,339,MARYLAND,48.7,13.7
MAREE GARNETT FARRING ELEMENTARY,Maryland,MD ,Maree Garnett Farring Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,730,730,26,245,233,730,378,352,MARYLAND,43,16.98
MARGARET BRENT ELEMENTARY,Maryland,MD ,Margaret Brent Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,344,344,7,231,36,344,159,185,MARYLAND,21,16.38
MARGARET BRENT MIDDLE,Maryland,MD ,Margaret Brent Middle,St. Mary's County,MECHANICSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,994,994,7,78,849,994,488,506,MARYLAND,55.26,17.99
MARGARET BRENT REGIONAL CENTER,Maryland,MD ,Margaret Brent Regional Center,Prince George's County,NEW CARROLLTON,MD ,2-Special education school,2-No,2-No,4-Other,110,110,1,75,4,110,83,27,MARYLAND,21,5.24
MARITIME INDUSTRIES ACADEMY,Maryland,MD ,Maritime Industries Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,127,127,0,116,5,127,67,60,MARYLAND,18,7.06
MARLEY ELEMENTARY,Maryland,MD ,Marley Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,715,715,39,180,250,715,344,371,MARYLAND,47.5,15.05
MARLEY GLEN SCHOOL,Maryland,MD ,Marley Glen School,Anne Arundel County,GLEN BURNIE,MD ,2-Special education school,2-No,2-No,4-Other,104,104,1,22,69,104,70,34,MARYLAND,22.7,4.58
MARLEY MIDDLE,Maryland,MD ,Marley Middle,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,2-Middle,823,823,24,246,377,823,436,387,MARYLAND,66.68,12.34
MARLTON ELEMENTARY,Maryland,MD ,Marlton Elementary,Prince George's County,UPPER MARLBORO,MD ,1-Regular school,2-No,2-No,1-Primary,328,328,4,296,5,328,160,168,MARYLAND,21.8,15.05
MARRIOTTS RIDGE HIGH,Maryland,MD ,Marriotts Ridge High,Howard County,MARRIOTTSVILLE,MD ,1-Regular school,2-No,2-No,3-High,1198,1198,330,81,693,1198,586,612,MARYLAND,72.1,16.62
MARS ESTATES ELEMENTARY,Maryland,MD ,Mars Estates Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,418,418,15,229,92,418,205,213,MARYLAND,31.3,13.35
MARSHALL STREET SCHOOL,Maryland,MD ,Marshall Street School,Washington County,HAGERSTOWN,MD ,2-Special education school,2-No,2-No,4-Other,51,51,2,9,34,51,32,19,MARYLAND,10.18,5.01
MARTIN BOULEVARD ELEMENTARY,Maryland,MD ,Martin Boulevard Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,330,330,5,116,120,330,161,169,MARYLAND,23.1,14.29
MARTIN LUTHER KING JR. MIDDLE,Maryland,MD ,Martin Luther King Jr. Middle,Prince George's County,BELTSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,659,659,72,383,50,659,332,327,MARYLAND,41,16.07
MARTIN LUTHER KING JR. MIDDLE,Maryland,MD ,Martin Luther King Jr. Middle,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,2-Middle,623,623,85,225,104,623,309,314,MARYLAND,43.6,14.29
MARY ANN WINTERLING ELEMENTARY AT BENTALOU,Maryland,MD ,Mary Ann Winterling Elementary at Bentalou,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,321,321,0,317,0,321,165,156,MARYLAND,19.5,16.46
MARY B. NEAL ELEMENTARY SCHOOL,Maryland,MD ,Mary B. Neal Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,748,748,39,555,55,748,394,354,MARYLAND,46.03,16.25
MARY E. MOSS ACADEMY,Maryland,MD ,Mary E. Moss Academy,Anne Arundel County,CROWNSVILLE,MD ,4-Alternative/other school,2-No,†,†,†,†,†,†,†,0,†,†,MARYLAND,†,†
MARY E. RODMAN ELEMENTARY,Maryland,MD ,Mary E. Rodman Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,254,254,1,244,2,254,137,117,MARYLAND,14.25,17.82
MARY HARRIS MOTHER JONES ELEMENTARY,Maryland,MD ,Mary Harris Mother Jones Elementary,Prince George's County,ADELPHI,MD ,1-Regular school,2-No,2-No,1-Primary,954,954,12,69,9,954,488,466,MARYLAND,63.26,15.08
MARY MATULA ELEMENTARY SCHOOL,Maryland,MD ,Mary Matula Elementary School,Charles County,LA PLATA,MD ,1-Regular school,2-No,2-No,1-Primary,673,673,21,315,239,673,365,308,MARYLAND,38.61,17.43
MARY MOSS AT ADAMS ACADEMY,MARYLAND,MD ,Mary Moss at Adams Academy,Anne Arundel County,ANNAPOLIS,MD ,4-Alternative/other school,2-No,2-No,2-Middle,85,85,0,40,28,85,61,24,MARYLAND,30,2.83
MARYLAND CITY ELEMENTARY,Maryland,MD ,Maryland City Elementary,Anne Arundel County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,347,347,11,136,24,347,185,162,MARYLAND,26.7,13
MARYVALE ELEMENTARY,Maryland,MD ,Maryvale Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,620,620,60,164,156,620,286,334,MARYLAND,43.6,14.22
MATAPEAKE ELEMENTARY SCHOOL,Maryland,MD ,Matapeake Elementary School,Queen Anne's County,STEVENSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,483,483,8,9,419,483,243,240,MARYLAND,31.81,15.18
MATAPEAKE MIDDLE SCHOOL,Maryland,MD ,Matapeake Middle School,Queen Anne's County,STEVENSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,450,450,9,13,375,450,227,223,MARYLAND,25.72,17.5
MATTAPONI ELEMENTARY,Maryland,MD ,Mattaponi Elementary,Prince George's County,UPPER MARLBORO,MD ,1-Regular school,2-No,1-Yes,1-Primary,347,347,1,276,31,347,184,163,MARYLAND,22.9,15.15
MATTAWOMAN MIDDLE SCHOOL,Maryland,MD ,Mattawoman Middle School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,2-Middle,905,905,49,653,74,905,478,427,MARYLAND,61.48,14.72
MATTHEW A. HENSON ELEMENTARY,Maryland,MD ,Matthew A. Henson Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,389,389,1,383,0,389,191,198,MARYLAND,20.5,18.98
MATTHEW HENSON MIDDLE SCHOOL,Maryland,MD ,Matthew Henson Middle School,Charles County,INDIAN HEAD,MD ,1-Regular school,2-No,2-No,2-Middle,704,704,11,467,121,704,366,338,MARYLAND,46.92,15
MAUGANSVILLE ELEMENTARY,Maryland,MD ,Maugansville Elementary,Washington County,MAUGANSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,681,681,17,62,486,681,370,311,MARYLAND,41.5,16.41
MAURICE J. MCDONOUGH HIGH SCHOOL,Maryland,MD ,Maurice J. McDonough High School,Charles County,POMFRET,MD ,1-Regular school,2-No,2-No,3-High,859,859,20,373,336,859,456,403,MARYLAND,64.26,13.37
MAYA ANGELOU FRENCH IMMERSION,Maryland,MD ,Maya Angelou French Immersion,Prince George's County,TEMPLE HILLS,MD ,1-Regular school,2-No,1-Yes,1-Primary,496,496,11,466,7,496,231,265,MARYLAND,36.5,13.59
MAYFIELD WOODS MIDDLE,Maryland,MD ,Mayfield Woods Middle,Howard County,ELKRIDGE,MD ,1-Regular school,2-No,2-No,2-Middle,668,668,101,183,234,668,350,318,MARYLAND,51.8,12.9
MAYO ELEMENTARY,Maryland,MD ,Mayo Elementary,Anne Arundel County,EDGEWATER,MD ,1-Regular school,2-No,2-No,1-Primary,326,326,0,14,282,326,169,157,MARYLAND,19.8,16.46
MAYS CHAPEL ELEMENTARY,MARYLAND,MD ,Mays Chapel Elementary,Baltimore County,TIMONIUM,MD ,1-Regular school,2-No,2-No,1-Primary,672,672,129,111,331,672,352,320,MARYLAND,38,17.68
MCCORMICK ELEMENTARY,Maryland,MD ,McCormick Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,456,456,11,366,48,456,230,226,MARYLAND,24.9,18.31
MCPS TRANSITIONS SCHOOL,Maryland,MD ,MCPS Transitions School,Montgomery County,SILVER SPRING,MD ,2-Special education school,2-No,2-No,3-High,48,48,11,11,12,48,28,20,MARYLAND,–,–
MD ACADEMY OF TECHNOLOGY AND HEALTH SCIENCES,Maryland,MD ,MD Academy of Technology and Health Sciences,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,4-Other,403,403,0,397,3,403,218,185,MARYLAND,39,10.33
MEADE HEIGHTS ELEMENTARY,Maryland,MD ,Meade Heights Elementary,Anne Arundel County,FT. MEADE,MD ,1-Regular school,2-No,2-No,1-Primary,352,352,3,219,69,352,184,168,MARYLAND,30,11.73
MEADE HIGH,Maryland,MD ,Meade High,Anne Arundel County,FT MEADE,MD ,1-Regular school,2-No,2-No,3-High,2055,2055,92,1117,343,2055,1060,995,MARYLAND,128.55,15.99
MEADE MIDDLE,Maryland,MD ,Meade Middle,Anne Arundel County,FORT MEADE,MD ,1-Regular school,2-No,2-No,2-Middle,589,589,29,279,102,589,307,282,MARYLAND,52.56,11.21
MEADOW HALL ELEMENTARY,Maryland,MD ,Meadow Hall Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,462,462,46,53,97,462,254,208,MARYLAND,37.5,12.32
MEADOWOOD EDUCATION CENTER,Maryland,MD ,Meadowood Education Center,Baltimore County,BALTIMORE,MD ,4-Alternative/other school,2-No,2-No,2-Middle,40,40,0,34,4,40,31,9,MARYLAND,8.5,4.71
MEADOWVALE ELEMENTARY,Maryland,MD ,Meadowvale Elementary,Harford County,HAVRE DE GRACE,MD ,1-Regular school,2-No,2-No,1-Primary,524,524,6,73,355,524,260,264,MARYLAND,34,15.41
MECHANICSVILLE ELEMENTARY,Maryland,MD ,Mechanicsville Elementary,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,483,483,11,12,431,483,212,271,MARYLAND,34.6,13.96
MECHANICSVILLE ELEMENTARY,Maryland,MD ,Mechanicsville Elementary,St. Mary's County,MECHANICSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,379,379,3,20,324,379,182,197,MARYLAND,21.35,17.75
MEDFIELD HEIGHTS ELEMENTARY,Maryland,MD ,Medfield Heights Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,389,389,54,135,167,389,209,180,MARYLAND,24,16.21
MELWOOD ELEMENTARY,Maryland,MD ,Melwood Elementary,Prince George's County,UPPER MARLBORO,MD ,1-Regular school,2-No,2-No,1-Primary,439,439,6,333,16,439,216,223,MARYLAND,26.66,16.47
MERGENTHALER VOCATIONAL-TECHNICAL HIGH,Maryland,MD ,Mergenthaler Vocational-Technical High,Baltimore city,BALTIMORE,MD ,3-Vocational school,2-No,2-No,3-High,1645,1645,4,1564,37,1645,879,766,MARYLAND,106,15.52
MIDDLE RIVER MIDDLE,Maryland,MD ,Middle River Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,855,855,24,356,340,855,448,407,MARYLAND,57.1,14.97
MIDDLEBOROUGH ELEMENTARY,Maryland,MD ,Middleborough Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,365,365,7,58,270,365,191,174,MARYLAND,21.9,16.67
MIDDLESEX ELEMENTARY,Maryland,MD ,Middlesex Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,571,571,12,221,197,571,296,275,MARYLAND,34.2,16.7
MIDDLETOWN ELEMENTARY,Maryland,MD ,Middletown Elementary,Frederick County,MIDDLETOWN,MD ,1-Regular school,2-No,2-No,1-Primary,421,421,9,10,349,421,223,198,MARYLAND,28.6,14.72
MIDDLETOWN HIGH,Maryland,MD ,Middletown High,Frederick County,MIDDLETOWN,MD ,1-Regular school,2-No,2-No,3-High,1151,1151,34,20,1025,1151,586,565,MARYLAND,60.5,19.02
MIDDLETOWN MIDDLE,Maryland,MD ,Middletown Middle,Frederick County,MIDDLETOWN,MD ,1-Regular school,2-No,2-No,2-Middle,815,815,27,14,699,815,433,382,MARYLAND,46.5,17.53
MIDDLETOWN PRIMARY,Maryland,MD ,Middletown Primary,Frederick County,MIDDLETOWN,MD ,1-Regular school,2-No,2-No,1-Primary,430,430,9,8,356,430,225,205,MARYLAND,29.1,14.78
MIDTOWN ACADEMY,Maryland,MD ,Midtown Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,198,198,5,150,28,198,98,100,MARYLAND,12,16.5
MILBROOK ELEMENTARY,Maryland,MD ,Milbrook Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,408,408,31,260,33,408,216,192,MARYLAND,31.6,12.91
MILFORD MILL ACADEMY,Maryland,MD ,Milford Mill Academy,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,3-High,1491,1491,24,1369,13,1491,744,747,MARYLAND,91.7,16.26
MILL CREEK MIDDLE,Maryland,MD ,Mill Creek Middle,Calvert County,LUSBY,MD ,1-Regular school,2-No,2-No,2-Middle,513,513,9,83,356,513,250,263,MARYLAND,30.42,16.86
MILL CREEK TOWNE ELEMENTARY,Maryland,MD ,Mill Creek Towne Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,378,378,38,49,103,378,209,169,MARYLAND,31.8,11.89
MILLERSVILLE ELEMENTARY,Maryland,MD ,Millersville Elementary,Anne Arundel County,MILLERSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,349,349,7,22,273,349,191,158,MARYLAND,25.5,13.69
MILLINGTON ELEMENTARY,Maryland,MD ,Millington Elementary,Kent County,MILLINGTON,MD ,1-Regular school,2-No,2-No,1-Primary,161,161,2,21,90,161,77,84,MARYLAND,12.2,13.2
MILTON M. SOMERS MIDDLE SCHOOL,Maryland,MD ,Milton M. Somers Middle School,Charles County,LA PLATA,MD ,1-Regular school,2-No,2-No,2-Middle,996,996,27,344,510,996,532,464,MARYLAND,62.96,15.82
MONARCH ACADEMY,Maryland,MD ,Monarch Academy,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,1-Yes,2-No,1-Primary,678,678,24,217,325,678,348,330,MARYLAND,46.6,14.55
MONARCH ACADEMY PUBLIC CHARTER SCHOOL,Maryland,MD ,Monarch Academy Public Charter School,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,959,959,2,924,13,959,492,467,MARYLAND,58,16.53
MONARCH GLOBAL ACADEMY PCS LAUREL CAMPUS,MARYLAND,MD ,Monarch Global Academy PCS Laurel Campus,Anne Arundel County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,701,701,53,374,111,701,336,365,MARYLAND,42.8,16.38
MONOCACY ELEMENTARY,Maryland,MD ,Monocacy Elementary,Montgomery County,DICKERSON,MD ,1-Regular school,2-No,2-No,1-Primary,167,167,3,13,120,167,99,68,MARYLAND,9.92,16.83
MONOCACY ELEMENTARY,Maryland,MD ,Monocacy Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,588,588,22,188,192,588,301,287,MARYLAND,43.81,13.42
MONOCACY MIDDLE,Maryland,MD ,Monocacy Middle,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,2-Middle,728,728,38,159,296,728,366,362,MARYLAND,50,14.56
MONOCACY VALLEY MONTESSORI SCHOOL,Maryland,MD ,Monocacy Valley Montessori School,Frederick County,FREDERICK,MD ,1-Regular school,1-Yes,2-No,1-Primary,300,300,22,34,203,300,163,137,MARYLAND,16.04,18.7
MONTEBELLO ELEMENTARY,Maryland,MD ,Montebello Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,541,541,1,523,2,541,296,245,MARYLAND,31.5,17.17
MONTGOMERY BLAIR HIGH,Maryland,MD ,Montgomery Blair High,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,1-Yes,3-High,2882,2882,441,735,655,2882,1463,1419,MARYLAND,166,17.36
MONTGOMERY COUNTY EVENING HIGH SCHOOL CENTERS,Maryland,MD ,Montgomery County Evening High School Centers,Montgomery County,ROCKVILLE,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,0,†
MONTGOMERY KNOLLS ELEMENTARY,Maryland,MD ,Montgomery Knolls Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,477,477,30,115,79,477,270,207,MARYLAND,42.12,11.32
MONTGOMERY VILLAGE MIDDLE SCHOOL,Maryland,MD ,Montgomery Village Middle School,Montgomery County,MONTGOMERY VILLAGE,MD ,1-Regular school,2-No,2-No,2-Middle,713,713,71,217,48,713,390,323,MARYLAND,53.2,13.4
MONTPELIER ELEMENTARY,Maryland,MD ,Montpelier Elementary,Prince George's County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,586,586,18,399,13,586,304,282,MARYLAND,35.54,16.49
MORAVIA PARK,Maryland,MD ,Moravia Park,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,830,830,18,731,19,830,425,405,MARYLAND,50,16.6
MORRELL PARK ELEMENTARY/MIDDLE,Maryland,MD ,Morrell Park Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,431,431,26,104,242,431,218,213,MARYLAND,29,14.86
MOUNT AIRY ELEMENTARY,Maryland,MD ,Mount Airy Elementary,Carroll County,MOUNT AIRY,MD ,1-Regular school,2-No,2-No,1-Primary,465,465,14,9,389,465,227,238,MARYLAND,32,14.53
MOUNT AIRY MIDDLE,Maryland,MD ,Mount Airy Middle,Carroll County,MOUNT AIRY,MD ,1-Regular school,2-No,2-No,2-Middle,638,638,13,14,549,638,315,323,MARYLAND,39.9,15.99
