School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
C. Elizabeth Rieg Regional Center,1,Prince George's County,MITCHELLVILLE,MD 
C. Milton Wright High,8,Harford County,BEL AIR,MD 
C. Paul Barnhart Elementary School,6,Charles County,WALDORF,MD 
Cabin John Middle School,9,Montgomery County,POTOMAC,MD 
Callaway Elementary,2,Baltimore city,BALTIMORE,MD 
Calvert Country School,NaN,Calvert County,PRINCE FREDERICK,MD 
Calvert County Alternative School,NaN,Calvert County,PRINCE FREDERICK,MD 
Calvert Elementary,5,Cecil County,RISING SUN,MD 
Calvert Elementary,7,Calvert County,PRINCE FREDERICK,MD 
Calvert High,6,Calvert County,PRINCE FREDERICK,MD 
Calvert Middle,6,Calvert County,PRINCE FREDERICK,MD 
Calverton,1,Baltimore city,BALTIMORE,MD 
Calverton Elementary,4,Prince George's County,BELTSVILLE,MD 
Calvin M. Rodwell Elementary,3,Baltimore city,BALTIMORE,MD 
Cambridge-South Dorchester High School,4,Dorchester County,CAMBRIDGE,MD 
Campfield Early Childhood Center,NaN,Baltimore County,BALTIMORE,MD 
Candlewood Elementary,8,Montgomery County,ROCKVILLE,MD 
Cannon Road Elementary,5,Montgomery County,SILVER SPRING,MD 
Cape St. Claire Elementary,9,Anne Arundel County,ANNAPOLIS,MD 
Capitol Heights Elementary,7,Prince George's County,CAPITOL HEIGHTS,MD 
Captain James E. Daly Elementary,4,Montgomery County,GERMANTOWN,MD 
Captain Walter Francis Duke Elementary,8,St. Mary's County,LEONARDTOWN,MD 
Carderock Springs Elementary,9,Montgomery County,BETHESDA,MD 
Career and Technology Academy,NaN,Calvert County,PRINCE FREDERICK,MD 
Carl Sandburg Center,NaN,Montgomery County,ROCKVILLE,MD 
Carmody Hills Elementary,2,Prince George's County,CAPITOL HEIGHTS,MD 
Carney Elementary,4,Baltimore County,BALTIMORE,MD 
Carole Highlands Elementary,4,Prince George's County,TAKOMA PARK,MD 
Caroline Career & Technology Center,NaN,Caroline County,RIDGELY,MD 
Carroll County Career & Technology Center,NaN,Carroll County,WESTMINSTER,MD 
Carroll Creek Montessori Public Charter School,NR,Frederick County,FREDERICK,MD 
Carroll Manor Elementary,8,Frederick County,ADAMSTOWN,MD 
Carroll Manor Elementary,9,Baltimore County,BALDWIN,MD 
Carroll Springs School,NaN,Carroll County,WESTMINSTER,MD 
Carrollton Elementary,3,Prince George's County,NEW CARROLLTON,MD 
Carrolltowne Elementary,8,Carroll County,SYKESVILLE,MD 
Carter G Woodson Elementary,3,Somerset County,CRISFIELD,MD 
Carver Vocational-Technical High,3,Baltimore city,BALTIMORE,MD 
Cascade Elementary,6,Washington County,CASCADE,MD 
Cash Valley Elementary,7,Allegany County,LAVALE,MD 
Cashell Elementary,9,Montgomery County,ROCKVILLE,MD 
Catherine T. Reed Elementary,3,Prince George's County,LANHAM,MD 
Catoctin High,7,Frederick County,THURMONT,MD 
Catonsville Center for Alternative Studies,NaN,Baltimore County,BALTIMORE,MD 
Catonsville Elementary,4,Baltimore County,CATONSVILLE,MD 
Catonsville High,7,Baltimore County,BALTIMORE,MD 
Catonsville Middle,6,Baltimore County,CATONSVILLE,MD 
Cecil County School of Technology,NaN,Cecil County,NORTH EAST,MD 
Cecil Elementary,4,Baltimore city,BALTIMORE,MD 
Cecil Manor Elementary,3,Cecil County,ELKTON,MD 
Cecilton Elementary,5,Cecil County,CECILTON,MD 
Cedar Chapel Special School,NaN,Worcester County,SNOW HILL,MD 
Cedar Grove Elementary,9,Montgomery County,GERMANTOWN,MD 
Cedar Lane Special Center,NaN,Howard County,FULTON,MD 
Cedarmere Elementary,4,Baltimore County,REISTERSTOWN,MD 
Centennial High,9,Howard County,ELLICOTT CITY,MD 
Centennial Lane Elementary,9,Howard County,ELLICOTT CITY,MD 
Center for Career & Technical Education,6,Allegany County,CRESAPTOWN,MD 
Center for Educational Opportunity,NaN,Harford County,ABERDEEN,MD 
Center of Applied Technology-North,NaN,Anne Arundel County,SEVERN,MD 
Center of Applied Technology-South,NaN,Anne Arundel County,EDGEWATER,MD 
Centerville Elementary,9,Frederick County,FREDERICK,MD 
Central Elementary,9,Anne Arundel County,EDGEWATER,MD 
Central High,2,Prince George's County,CAPITOL HEIGHTS,MD 
Central Middle,9,Anne Arundel County,EDGEWATER,MD 
Central Special School,NaN,Anne Arundel County,EDGEWATER,MD 
Centreville Elementary School,NaN,Queen Anne's County,CENTREVILLE,MD 
