School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Medfield Heights Elementary,4,Baltimore city,BALTIMORE,MD 
Melwood Elementary,3,Prince George's County,UPPER MARLBORO,MD 
Mergenthaler Vocational-Technical High,2,Baltimore city,BALTIMORE,MD 
Middle River Middle,4,Baltimore County,BALTIMORE,MD 
Middleborough Elementary,6,Baltimore County,BALTIMORE,MD 
Middlesex Elementary,3,Baltimore County,BALTIMORE,MD 
Middletown Elementary,8,Frederick County,MIDDLETOWN,MD 
Middletown High,9,Frederick County,MIDDLETOWN,MD 
Middletown Middle,8,Frederick County,MIDDLETOWN,MD 
Middletown Primary,NaN,Frederick County,MIDDLETOWN,MD 
Midtown Academy,4,Baltimore city,BALTIMORE,MD 
Milbrook Elementary,3,Baltimore County,BALTIMORE,MD 
Milford Mill Academy,3,Baltimore County,BALTIMORE,MD 
Mill Creek Middle,6,Calvert County,LUSBY,MD 
Mill Creek Towne Elementary,5,Montgomery County,ROCKVILLE,MD 
Millersville Elementary,NaN,Anne Arundel County,MILLERSVILLE,MD 
Millington Elementary,6,Kent County,MILLINGTON,MD 
Milton M. Somers Middle School,7,Charles County,LA PLATA,MD 
Monarch Academy,5,Anne Arundel County,GLEN BURNIE,MD 
Monarch Academy Public Charter School,2,Baltimore city,BALTIMORE,MD 
Monarch Global Academy PCS Laurel Campus,NR,Anne Arundel County,LAUREL,MD 
Monocacy Elementary,7,Montgomery County,DICKERSON,MD 
Monocacy Elementary,4,Frederick County,FREDERICK,MD 
Monocacy Middle,6,Frederick County,FREDERICK,MD 
Monocacy Valley Montessori School,6,Frederick County,FREDERICK,MD 
Montebello Elementary,2,Baltimore city,BALTIMORE,MD 
Montgomery Blair High,6,Montgomery County,SILVER SPRING,MD 
Montgomery County Evening High School Centers,NaN,Montgomery County,ROCKVILLE,MD 
Montgomery Knolls Elementary,NaN,Montgomery County,SILVER SPRING,MD 
Montgomery Village Middle School,4,Montgomery County,MONTGOMERY VILLAGE,MD 
Montpelier Elementary,5,Prince George's County,LAUREL,MD 
Moravia Park,2,Baltimore city,BALTIMORE,MD 
Morrell Park Elementary/Middle,3,Baltimore city,BALTIMORE,MD 
Mount Airy Elementary,8,Carroll County,MOUNT AIRY,MD 
Mount Airy Middle,10,Carroll County,MOUNT AIRY,MD 
Mount Harmony Elementary,8,Calvert County,OWINGS,MD 
Mount Hebron High,9,Howard County,ELLICOTT CITY,MD 
Mount Royal Elementary/Middle,4,Baltimore city,BALTIMORE,MD 
Mount Savage Middle,6,Allegany County,MOUNT SAVAGE,MD 
Mount View Middle,9,Howard County,MARRIOTTSVILLE,MD 
Mountain Ridge High School,6,Allegany County,FROSTBURG,MD 
Mt Hope/Nanjemoy Elementary School,6,Charles County,NANJEMOY,MD 
Mt Rainier Elementary,3,Prince George's County,MT RAINIER,MD 
Mt. Savage Elementary,NaN,Allegany County,MT SAVAGE,MD 
Murray Hill Middle,6,Howard County,LAUREL,MD 
Mutual Elementary,7,Calvert County,PORT REPUBLIC,MD 
Myersville Elementary,NaN,Frederick County,MYERSVILLE,MD 
N.A.C.A. Freedom and Democracy Academy II,2,Baltimore city,BALTIMORE,MD 
Nantucket Elementary,8,Anne Arundel County,CROFTON,MD 
National Academy Foundation,1,Baltimore city,BALTIMORE,MD 
Neelsville Middle,4,Montgomery County,GERMANTOWN,MD 
New Era Academy,1,Baltimore city,BALTIMORE,MD 
New Hampshire Estates Elem,NaN,Montgomery County,SILVER SPRING,MD 
New Hope Academy,1,Baltimore city,BALTIMORE,MD 
New Market Elementary,9,Frederick County,NEW MARKET,MD 
New Market Middle,8,Frederick County,NEW MARKET,MD 
New Midway/Woodsboro Elementary,6,Frederick County,KEYMAR,MD 
New Song Academy,3,Baltimore city,BALTIMORE,MD 
New Town Elementary,6,Baltimore County,OWINGS MILLS,MD 
New Town High,5,Baltimore County,OWINGS MILLS,MD 
New Windsor Middle,6,Carroll County,NEW WINDSOR,MD 
Newport Mill Middle,4,Montgomery County,KENSINGTON,MD 
Nicholas Orem Middle,3,Prince George's County,HYATTSVILLE,MD 
Norrisville Elementary,6,Harford County,WHITE HALL,MD 
North Bend Elementary,3,Baltimore city,BALTIMORE,MD 
North Bend Elementary,7,Harford County,JARRETTSVILLE,MD 
North Bethesda Middle,9,Montgomery County,BETHESDA,MD 
North Caroline High School,5,Caroline County,RIDGELY,MD 
North Carroll High,NR,Carroll County,HAMPSTEAD,MD 
North Carroll Middle,7,Carroll County,HAMPSTEAD,MD 
North Chevy Chase Elementary,8,Montgomery County,CHEVY CHASE,MD 
North County High,5,Anne Arundel County,GLEN BURNIE,MD 
North Dorchester High School,5,Dorchester County,HURLOCK,MD 
North Dorchester Middle School,5,Dorchester County,HURLOCK,MD 
North East Elementary,3,Cecil County,NORTH EAST,MD 
North East High,4,Cecil County,NORTH EAST,MD 
North East Middle,5,Cecil County,NORTH EAST,MD 
North Forestville Elementary,2,Prince George's County,FORESTVILLE,MD 
North Frederick Elementary,7,Frederick County,FREDERICK,MD 
North Glen Elementary,4,Anne Arundel County,GLEN BURNIE,MD 
North Hagerstown High,5,Washington County,HAGERSTOWN,MD 
North Harford Elementary,7,Harford County,PYLESVILLE,MD 
North Harford High,8,Harford County,PYLESVILLE,MD 
North Harford Middle,8,Harford County,PYLESVILLE,MD 
North Point High School,8,Charles County,WALDORF,MD 
North Salisbury Elementary,7,Wicomico County,SALISBURY,MD 
Northeast Elementary,6,Allegany County,CUMBERLAND,MD 
Northeast High,4,Anne Arundel County,PASADENA,MD 
Northeast Middle,NaN,Baltimore city,BALTIMORE,MD 
Northern Garrett High School,6,Garrett County,ACCIDENT,MD 
Northern High,10,Calvert County,OWINGS,MD 
Northern Middle,8,Calvert County,OWINGS,MD 
Northern Middle,5,Washington County,HAGERSTOWN,MD 
Northern Middle School,7,Garrett County,ACCIDENT,MD 
Northfield Elementary,8,Howard County,ELLICOTT CITY,MD 
Northview Elementary,4,Prince George's County,BOWIE,MD 
Northwest High,8,Montgomery County,GERMANTOWN,MD 
Northwest Middle,6,Carroll County,TANEYTOWN,MD 
Northwestern Elementary,NaN,Wicomico County,MARDELA SPRINGS,MD 
Northwestern Evening/Saturday High,1,Prince George's County,HYATTSVILLE,MD 
Northwestern High,3,Prince George's County,HYATTSVILLE,MD 
Northwestern High,2,Baltimore city,BALTIMORE,MD 
Northwood Appold Community Academy,3,Baltimore city,BALTIMORE,MD 
Northwood Elementary,4,Baltimore city,BALTIMORE,MD 
Northwood High School,4,Montgomery County,SILVER SPRING,MD 
Norwood Elementary,2,Baltimore County,BALTIMORE,MD 
Oak Hill Elementary,8,Anne Arundel County,SEVERNA PARK,MD 
Oak View Elementary,5,Montgomery County,SILVER SPRING,MD 
Oakdale Elementary,NaN,Frederick County,IJAMSVILLE,MD 
Oakdale High,9,Frederick County,IJAMSVILLE,MD 
Oakdale Middle,10,Frederick County,IJAMSVILLE,MD 
Oakland Mills High,5,Howard County,COLUMBIA,MD 
Oakland Mills Middle,5,Howard County,COLUMBIA,MD 
Oakland Terrace Elementary,6,Montgomery County,SILVER SPRING,MD 
Oaklands Elementary,3,Prince George's County,LAUREL,MD 
Oakleigh Elementary,5,Baltimore County,BALTIMORE,MD 
Oakville Elementary,5,St. Mary's County,MECHANICSVILLE,MD 
Oakwood Elementary,6,Anne Arundel County,GLEN BURNIE,MD 
Ocean City Elementary,10,Worcester County,OCEAN CITY,MD 
Odenton Elementary,7,Anne Arundel County,ODENTON,MD 
Oklahoma Road Middle,10,Carroll County,SYKESVILLE,MD 
Old Court Middle,4,Baltimore County,BALTIMORE,MD 
Old Forge Elementary,6,Washington County,HAGERSTOWN,MD 
Old Mill High,6,Anne Arundel County,MILLERSVILLE,MD 
Old Mill Middle North,6,Anne Arundel County,MILLERSVILLE,MD 
Old Mill Middle South,7,Anne Arundel County,MILLERSVILLE,MD 
Oliver Beach Elementary,5,Baltimore County,BALTIMORE,MD 
Olney Elementary,7,Montgomery County,OLNEY,MD 
Orchard Grove Elementary,8,Frederick County,FREDERICK,MD 
Orems Elementary,NaN,Baltimore County,BALTIMORE,MD 
Overlea High & Academy of Finance,2,Baltimore County,BALTIMORE,MD 
Overlook Elementary,6,Anne Arundel County,LINTHICUM,MD 
Overlook Elementary,2,Prince George's County,TEMPLE HILLS,MD 
Owings Mills Elementary,4,Baltimore County,OWINGS MILLS,MD 
Owings Mills High,3,Baltimore County,OWINGS MILLS,MD 
Oxon Hill Elementary,3,Prince George's County,OXON HILL,MD 
Oxon Hill High,5,Prince George's County,OXON HILL,MD 
Oxon Hill Middle,3,Prince George's County,FORT WASHINGTON,MD 
Padonia International Elementary,5,Baltimore County,COCKEYSVILLE,MD 
Paint Branch Elementary,3,Prince George's County,COLLEGE PARK,MD 
Paint Branch High,5,Montgomery County,BURTONSVILLE,MD 
Pangborn Elementary,3,Washington County,HAGERSTOWN,MD 
Panorama Elementary,3,Prince George's County,TEMPLE HILLS,MD 
Paramount Elementary,8,Washington County,HAGERSTOWN,MD 
Park Elementary,5,Anne Arundel County,BALTIMORE,MD 
Park Hall Elementary,4,St. Mary's County,PARK HALL,MD 
Parkdale High,3,Prince George's County,RIVERDALE,MD 
Parkland Middle,6,Montgomery County,ROCKVILLE,MD 
Parkside Elementary,7,Allegany County,LAVALE,MD 
Parkside High,5,Wicomico County,SALISBURY,MD 
Parkville High & Center for Math/Science,4,Baltimore County,BALTIMORE,MD 
Parkville Middle & Center of Technology,8,Baltimore County,BALTIMORE,MD 
Parkway Elementary,8,Frederick County,FREDERICK,MD 
Parr's Ridge Elementary,NaN,Carroll County,MT AIRY,MD 
Pasadena Elementary,NaN,Anne Arundel County,PASADENA,MD 
Patapsco High & Center for Arts,4,Baltimore County,BALTIMORE,MD 
Patapsco Middle,7,Howard County,ELLICOTT CITY,MD 
Patterson High,2,Baltimore city,BALTIMORE,MD 
Patterson Mill High School,9,Harford County,BEL AIR,MD 
Patterson Mill Middle School,10,Harford County,BEL AIR,MD 
Patterson Park Public Charter School,3,Baltimore city,BALTIMORE,MD 
Patuxent Appeal Elementary Campus,NaN,Calvert County,LUSBY,MD 
Patuxent Elementary,4,Prince George's County,UPPER MARLBORO,MD 
Patuxent High,7,Calvert County,LUSBY,MD 
Patuxent Valley Middle,5,Howard County,JESSUP,MD 
Paul Laurence Dunbar High,4,Baltimore city,BALTIMORE,MD 
Pemberton Elementary,4,Wicomico County,SALISBURY,MD 
PEP - Itinerant,NaN,Montgomery County,GERMANTOWN,MD 
Perry Hall Elementary,6,Baltimore County,BALTIMORE,MD 
Perry Hall High,6,Baltimore County,BALTIMORE,MD 
Perry Hall Middle,8,Baltimore County,BALTIMORE,MD 
Perryville High,5,Cecil County,PERRYVILLE,MD 
Perryville Middle,5,Cecil County,PERRYVILLE,MD 
Perrywood Elementary,5,Prince George's County,LARGO,MD 
Pershing Hill Elementary,8,Anne Arundel County,FT MEADE,MD 
Phelps Luck Elementary,4,Howard County,COLUMBIA,MD 
Phoenix Academy,NR,Anne Arundel County,ANNAPOLIS,MD 
Phyllis E. Williams Elementary,4,Prince George's County,UPPER MARLBORO,MD 
Piccowaxen Middle School,6,Charles County,NEWBURG,MD 
Pikesville High,7,Baltimore County,BALTIMORE,MD 
Pikesville Middle,4,Baltimore County,BALTIMORE,MD 
Pimlico Elementary,1,Baltimore city,BALTIMORE,MD 
Pine Crest Elementary,6,Montgomery County,SILVER SPRING,MD 
Pine Grove Elementary,8,Baltimore County,BALTIMORE,MD 
Pine Grove Middle,6,Baltimore County,BALTIMORE,MD 
Pinehurst Elementary,4,Wicomico County,SALISBURY,MD 
Pinewood Elementary,9,Baltimore County,TIMONIUM,MD 
Piney Branch Elementary,6,Montgomery County,TAKOMA PARK,MD 
Piney Orchard Elementary,9,Anne Arundel County,ODENTON,MD 
Piney Point Elementary,6,St. Mary's County,TALL TIMBERS,MD 
Piney Ridge Elementary,8,Carroll County,SYKESVILLE,MD 
Pittsville Elementary & Middle,6,Wicomico County,PITTSVILLE,MD 
Pleasant Plains Elementary,4,Baltimore County,TOWSON,MD 
Pleasant Valley Elementary,5,Washington County,KNOXVILLE,MD 
Plum Point Elementary,8,Calvert County,HUNTINGTOWN,MD 
Plum Point Middle,8,Calvert County,HUNTINGTOWN,MD 
Pocomoke Elementary,9,Worcester County,POCOMOKE CITY,MD 
Pocomoke High,5,Worcester County,POCOMOKE CITY,MD 
Pocomoke Middle,6,Worcester County,POCOMOKE CITY,MD 
Point Pleasant Elementary,4,Anne Arundel County,GLEN BURNIE,MD 
Pointer Ridge Elementary,5,Prince George's County,BOWIE,MD 
Pointers Run Elementary,9,Howard County,CLARKSVILLE,MD 
Poolesville Elementary,9,Montgomery County,POOLESVILLE,MD 
Poolesville High,9,Montgomery County,POOLESVILLE,MD 
Port Towns Elementary,2,Prince George's County,BLADENSBURG,MD 
Post Secondary Program,NaN,Carroll County,WESTMINSTER,MD 
Pot Spring Elementary,6,Baltimore County,TIMONIUM,MD 
Potomac Elementary,9,Montgomery County,POTOMAC,MD 
Potomac Heights Elementary,6,Washington County,HAGERSTOWN,MD 
Potomac High,2,Prince George's County,OXON HILL,MD 
Potomac Landing Elementary,4,Prince George's County,FORT WASHINGTON,MD 
Powhatan Elementary,3,Baltimore County,BALTIMORE,MD 
Prekindergarten Offsites,NaN,Prince George's County,UPPER MARLBORO,MD 
Preston Elementary School,6,Caroline County,PRESTON,MD 
Prettyboy Elementary,7,Baltimore County,FREELAND,MD 
PRIDE School,NaN,Carroll County,WESTMINSTER,MD 
Prince Street School,4,Wicomico County,SALISBURY,MD 
Princess Anne Elementary,4,Somerset County,PRINCESS ANNE,MD 
Princeton Elementary,2,Prince George's County,SUITLAND,MD 
Prospect Mill Elementary,8,Harford County,BEL AIR,MD 
Quarterfield Elementary,7,Anne Arundel County,SEVERN,MD 
Queen Anne's County High School,8,Queen Anne's County,CENTREVILLE,MD 
Quince Orchard High,8,Montgomery County,GAITHERSBURG,MD 
Rachel Carson Elementary,8,Montgomery County,GAITHERSBURG,MD 
Randallstown Elementary,2,Baltimore County,RANDALLSTOWN,MD 
Randallstown High,3,Baltimore County,RANDALLSTOWN,MD 
Red House Run Elementary,5,Baltimore County,BALTIMORE,MD 
Red Pump Elementary School,NaN,Harford County,BEL AIR,MD 
Redland Middle,5,Montgomery County,ROCKVILLE,MD 
Reginald F. Lewis High School,2,Baltimore city,BALTIMORE,MD 
Regional Institute for Children & Adolescents,1,Montgomery County,ROCKVILLE,MD 
Reisterstown Elementary,4,Baltimore County,REISTERSTOWN,MD 
Relay Elementary,8,Baltimore County,BALTIMORE,MD 
Renaissance Academy,1,Baltimore city,BALTIMORE,MD 
Reservoir High,7,Howard County,FULTON,MD 
Richard Henry Lee Elementary,6,Anne Arundel County,GLEN BURNIE,MD 
Richard Montgomery High,7,Montgomery County,ROCKVILLE,MD 
Riderwood Elementary,9,Baltimore County,TOWSON,MD 
Ridge Elementary,5,St. Mary's County,RIDGE,MD 
Ridge Ruxton,1,Baltimore County,BALTIMORE,MD 
Ridgecrest Elementary,2,Prince George's County,HYATTSVILLE,MD 
Ridgely Elementary School,6,Caroline County,RIDGELY,MD 
Ridgely Middle,7,Baltimore County,LUTHERVILLE,MD 
Ridgeview Middle,7,Montgomery County,GAITHERSBURG,MD 
Ridgeway Elementary,7,Anne Arundel County,SEVERN,MD 
Ring Factory Elementary,9,Harford County,BEL AIR,MD 
Rippling Woods Elementary,3,Anne Arundel County,GLEN BURNIE,MD 
Rising Sun Elementary,5,Cecil County,RISING SUN,MD 
Rising Sun High,6,Cecil County,NORTH EAST,MD 
Rising Sun Middle School,7,Cecil County,RISING SUN,MD 
Ritchie Park Elementary,8,Montgomery County,ROCKVILLE,MD 
River Hill High,10,Howard County,CLARKSVILLE,MD 
Riverdale Elementary,2,Prince George's County,RIVERDALE,MD 
Riverside Elementary,5,Harford County,JOPPA,MD 
Riverview Elementary,3,Baltimore County,BALTIMORE,MD 
Riviera Beach Elementary,NaN,Anne Arundel County,PASADENA,MD 
Robert D. Stethem Educational Center,NaN,Charles County,POMFRET,MD 
Robert Frost Elementary,5,Prince George's County,NEW CARROLLTON,MD 
Robert Frost Middle School,9,Montgomery County,ROCKVILLE,MD 
Robert Goddard Montessori,9,Prince George's County,SEABROOK,MD 
Robert Moton Elementary,6,Carroll County,WESTMINSTER,MD 
Robert R. Gray Elementary,2,Prince George's County,CAPITAL HEIGHTS,MD 
Robert W. Coleman Elementary,1,Baltimore city,BALTIMORE,MD 
Roberto W. Clemente Middle,7,Montgomery County,GERMANTOWN,MD 
Rock Creek Forest Elementary,6,Montgomery County,CHEVY CHASE,MD 
Rock Creek School,NaN,Frederick County,FREDERICK,MD 
Rock Creek Valley Elementary,7,Montgomery County,ROCKVILLE,MD 
Rock Hall Elementary,NaN,Kent County,ROCK HALL,MD 
Rock Terrace School,1,Montgomery County,ROCKVILLE,MD 
Rock View Elementary,5,Montgomery County,KENSINGTON,MD 
Rockburn Elementary,9,Howard County,ELKRIDGE,MD 
Rockland Woods Elementary,5,Washington County,HAGERSTOWN,MD 
Rockledge Elementary,4,Prince George's County,BOWIE,MD 
Rockville High,5,Montgomery County,ROCKVILLE,MD 
Rocky Hill Middle,8,Montgomery County,CLARKSBURG,MD 
Rodgers Forge Elementary,9,Baltimore County,BALTIMORE,MD 
Rogers Heights Elementary,3,Prince George's County,BLADENSBURG,MD 
Rognel Heights Elementary/Middle,1,Baltimore city,BALTIMORE,MD 
Roland Park Elementary/Middle,8,Baltimore city,BALTIMORE,MD 
Rolling Knolls Elementary,6,Anne Arundel County,ANNAPOLIS,MD 
Rolling Terrace Elementary,4,Montgomery County,TAKOMA PARK,MD 
Ronald A. McNair Elementary,9,Montgomery County,GERMANTOWN,MD 
Roots and Branches School,1,Baltimore city,BALTIMORE,MD 
Rosa L. Parks Elementary,3,Prince George's County,HYATTSVILLE,MD 
Rosa M. Parks Middle,9,Montgomery County,OLNEY,MD 
Rosaryville Elementary,2,Prince George's County,UPPER MARLBORO,MD 
Roscoe R Nix Elementary,NaN,Montgomery County,SILVER SPRING,MD 
Rose Valley Elementary,3,Prince George's County,FORT WASHINGTON,MD 
Rosedale Center,NaN,Baltimore County,BALTIMORE,MD 
Rosemary Hills Elementary,NaN,Montgomery County,SILVER SPRING,MD 
Rosemont Elementary,5,Montgomery County,GAITHERSBURG,MD 
Rosemont Elementary,4,Baltimore city,BALTIMORE,MD 
Route 40 Elementary,5,Garrett County,FROSTBURG,MD 
Roye-Williams Elementary,6,Harford County,HAVRE DE GRACE,MD 
Running Brook Elementary,4,Howard County,COLUMBIA,MD 
Runnymede Elementary,7,Carroll County,WESTMINSTER,MD 
Ruth Ann Monroe Primary,NaN,Washington County,HAGERSTOWN,MD 
Ruth Parker Eason School,NaN,Anne Arundel County,MILLERSVILLE,MD 
S. Christa McAuliffe Elementary,5,Montgomery County,GERMANTOWN,MD 
Sabillasville Elementary,NaN,Frederick County,SABILLASVILLE,MD 
Salem Avenue Elementary,5,Washington County,HAGERSTOWN,MD 
Salisbury Middle,5,Wicomico County,SALISBURY,MD 
Samuel Chase Elementary,5,Prince George's County,TEMPLE HILLS,MD 
Samuel F. B. Morse Elementary,1,Baltimore city,BALTIMORE,MD 
Samuel Ogle Middle,7,Prince George's County,BOWIE,MD 
Samuel P. Massie Academy,2,Prince George's County,FORESTVILLE,MD 
Sandalwood Elementary,4,Baltimore County,BALTIMORE,MD 
Sandy Hill Elementary,2,Dorchester County,CAMBRIDGE,MD 
Sandy Plains Elementary,3,Baltimore County,BALTIMORE,MD 
Sandymount Elementary,7,Carroll County,FINKSBURG,MD 
Sarah M. Roach Elementary,2,Baltimore city,BALTIMORE,MD 
Sargent Shriver Elementary,4,Montgomery County,SILVER SPRING,MD 
Scholars K-8,NR,Baltimore County,BALTIMORE,MD 
Scotchtown Hills Elementary,4,Prince George's County,LAUREL,MD 
Scotts Branch Elementary,2,Baltimore County,BALTIMORE,MD 
Seabrook Elementary,5,Prince George's County,SEABROOK,MD 
Seat Pleasant Elementary,2,Prince George's County,SEAT PLEASANT,MD 
Seneca Elementary,6,Baltimore County,BALTIMORE,MD 
Seneca Valley High,4,Montgomery County,GERMANTOWN,MD 
Sequoyah Elementary,5,Montgomery County,DERWOOD,MD 
Seven Locks Elementary,10,Montgomery County,BETHESDA,MD 
Seven Oaks Elementary,7,Baltimore County,BALTIMORE,MD 
Seven Oaks Elementary,6,Anne Arundel County,ODENTON,MD 
Seventh District Elementary,9,Baltimore County,PARKTON,MD 
Severn Elementary,7,Anne Arundel County,SEVERN,MD 
Severn River Middle,7,Anne Arundel County,ARNOLD,MD 
Severna Park Elementary,9,Anne Arundel County,SEVERNA PARK,MD 
Severna Park High,7,Anne Arundel County,SEVERNA PARK,MD 
Severna Park Middle,9,Anne Arundel County,SEVERNA PARK,MD 
Shady Grove Middle,6,Montgomery County,GAITHERSBURG,MD 
Shady Side Elementary,7,Anne Arundel County,SHADY SIDE,MD 
Shady Spring Elementary,4,Baltimore County,BALTIMORE,MD 
Sharp-Leadenhall Elementary,NaN,Baltimore city,BALTIMORE,MD 
Sharpsburg Elementary,NaN,Washington County,SHARPSBURG,MD 
Sherwood Elementary,6,Montgomery County,SANDY SPRING,MD 
Sherwood High,7,Montgomery County,SANDY SPRING,MD 
Shiloh Middle,8,Carroll County,HAMPSTEAD,MD 
Shipley's Choice Elementary,9,Anne Arundel County,MILLERSVILLE,MD 
Showell Elementary,9,Worcester County,BERLIN,MD 
Silver Spring International Middle,6,Montgomery County,SILVER SPRING,MD 
Sinclair Lane Elementary,2,Baltimore city,BALTIMORE,MD 
Skyline Elementary,3,Prince George's County,SUITLAND,MD 
Sligo Creek Elementary,6,Montgomery County,SILVER SPRING,MD 
Sligo Middle,5,Montgomery County,SILVER SPRING,MD 
Smithsburg Elementary,5,Washington County,SMITHSBURG,MD 
Smithsburg High,8,Washington County,SMITHSBURG,MD 
Smithsburg Middle,8,Washington County,SMITHSBURG,MD 
Snow Hill Elementary,7,Worcester County,SNOW HILL,MD 
Snow Hill High,5,Worcester County,SNOW HILL,MD 
Snow Hill Middle,7,Worcester County,SNOW HILL,MD 
Sollers Point/Southeastern Technical High,NaN,Baltimore County,BALTIMORE,MD 
Solley Elementary,6,Anne Arundel County,GLEN BURNIE,MD 
Somerset 6/7 Intermediate School,6,Somerset County,WESTOVER,MD 
Somerset Elementary,9,Montgomery County,CHEVY CHASE,MD 
South Carroll High,8,Carroll County,SYKESVILLE,MD 
South Dorchester School,8,Dorchester County,CHURCH CREEK,MD 
South Hagerstown High,5,Washington County,HAGERSTOWN,MD 
South Lake Elementary,3,Montgomery County,GAITHERSBURG,MD 
South Penn Elementary,4,Allegany County,CUMBERLAND,MD 
South River High,7,Anne Arundel County,EDGEWATER,MD 
South Shore Elementary,9,Anne Arundel County,CROWNSVILLE,MD 
Southampton Middle,9,Harford County,BEL AIR,MD 
Southern Garrett High School,6,Garrett County,OAKLAND,MD 
Southern High,6,Anne Arundel County,HARWOOD,MD 
Southern Middle,7,Anne Arundel County,LOTHIAN,MD 
Southern Middle,5,Calvert County,LUSBY,MD 
Southern Middle School,5,Garrett County,OAKLAND,MD 
Southgate Elementary,5,Anne Arundel County,GLEN BURNIE,MD 
Southwest Academy,4,Baltimore County,BALTIMORE,MD 
Southwest Baltimore Charter School,2,Baltimore city,BALTIMORE,MD 
Spark M. Matsunaga Elementary School,8,Montgomery County,GERMANTOWN,MD 
Sparks Elementary,9,Baltimore County,SPARKS,MD 
Sparrows Point High,7,Baltimore County,SPARROWS POINT,MD 
Sparrows Point Middle,4,Baltimore County,BALTIMORE,MD 
Spring Garden Elementary,7,Carroll County,HAMPSTEAD,MD 
Spring Ridge Elementary,6,Frederick County,FREDERICK,MD 
Spring Ridge Middle,6,St. Mary's County,LEXINGTON PARK,MD 
Springbrook High,4,Montgomery County,SILVER SPRING,MD 
Springfield Middle,5,Washington County,WILLIAMSPORT,MD 
Springhill Lake Elementary,2,Prince George's County,GREENBELT,MD 
St Leonard Elementary,5,Calvert County,ST LEONARD,MD 
St. Charles High School,4,Charles County,WALDORF,MD 
St. Johns Lane Elementary,9,Howard County,ELLICOTT CITY,MD 
St. Mary's County Evening High,NaN,St. Mary's County,LEONARDTOWN,MD 
St. Michaels Elementary,6,Talbot County,ST MICHAELS,MD 
St. Michaels Middle/High School,6,Talbot County,ST MICHAELS,MD 
Stadium School,3,Baltimore city,BALTIMORE,MD 
Stedwick Elementary,3,Montgomery County,MONTGOMERY VILLAGE,MD 
Stemmers Run Middle,3,Baltimore County,BALTIMORE,MD 
Stephen Decatur High,5,Worcester County,BERLIN,MD 
Stephen Decatur Middle,3,Prince George's County,CLINTON,MD 
Stephen Decatur Middle,8,Worcester County,BERLIN,MD 
Stephen Knolls School,NaN,Montgomery County,KENSINGTON,MD 
Steuart Hill Academic Academy,2,Baltimore city,BALTIMORE,MD 
Stevens Forest Elementary,5,Howard County,COLUMBIA,MD 
Stevensville Middle School,6,Queen Anne's County,STEVENSVILLE,MD 
Stone Mill Elementary,9,Montgomery County,NORTH POTOMAC,MD 
Stonegate Elementary,7,Montgomery County,SILVER SPRING,MD 
Stoneleigh Elementary,8,Baltimore County,BALTIMORE,MD 
Strathmore Elementary,5,Montgomery County,SILVER SPRING,MD 
Strawberry Knoll Elementary,5,Montgomery County,GAITHERSBURG,MD 
Studio 39,NR,Anne Arundel County,ANNAPOLIS,MD 
Sudbrook Magnet Middle,8,Baltimore County,BALTIMORE,MD 
Sudlersville Elementary School,4,Queen Anne's County,SUDLERSVILLE,MD 
Sudlersville Middle School,7,Queen Anne's County,SUDLERSVILLE,MD 
Suitland Elementary,2,Prince George's County,SUITLAND,MD 
Suitland High,2,Prince George's County,FORESTVILLE,MD 
Summit Hall Elementary,4,Montgomery County,GAITHERSBURG,MD 
Summit Park Elementary,8,Baltimore County,BALTIMORE,MD 
Sunderland Elementary,8,Calvert County,SUNDERLAND,MD 
Sunset Elementary,6,Anne Arundel County,PASADENA,MD 
Surrattsville High,2,Prince George's County,CLINTON,MD 
Sussex Elementary,4,Baltimore County,BALTIMORE,MD 
Swan Meadow School,NaN,Garrett County,OAKLAND,MD 
Swansfield Elementary,5,Howard County,COLUMBIA,MD 
Sykesville Middle,8,Carroll County,SYKESVILLE,MD 
T. C. Martin Elementary School,8,Charles County,BRYANTOWN,MD 
Takoma Park Elementary,NaN,Montgomery County,TAKOMA PARK,MD 
Takoma Park Middle School,9,Montgomery County,SILVER SPRING,MD 
Talbott Springs Elementary,5,Howard County,COLUMBIA,MD 
Tall Oaks High,1,Prince George's County,BOWIE,MD 
Taneytown Elementary,5,Carroll County,TANEYTOWN,MD 
Tanglewood Regional Center,NaN,Prince George's County,CLINTON,MD 
Tayac Elementary,4,Prince George's County,FORT WASHINGTON,MD 
Templeton Elementary,3,Prince George's County,RIVERDALE,MD 
Tench Tilghman Elementary,1,Baltimore city,BALTIMORE,MD 
The Crossroads School,4,Baltimore city,BALTIMORE,MD 
The Green School,4,Baltimore city,BALTIMORE,MD 
The Historic Samuel Coleridge-Taylor Elementary,1,Baltimore city,BALTIMORE,MD 
The Mount Washington School,6,Baltimore city,BALTIMORE,MD 
The Reach! Partnership School,1,Baltimore city,BALTIMORE,MD 
The Seed School of Maryland,3,Baltimore city,BALTIMORE,MD 
Theodore G. Davis Middle School,7,Charles County,WALDORF,MD 
Thomas Claggett Elementary,NaN,Prince George's County,DISTRICT HEIGHTS,MD 
Thomas Edison High School of Technology,NaN,Montgomery County,SILVER SPRING,MD 
Thomas G. Pullen School,6,Prince George's County,LANDOVER,MD 
Thomas Jefferson Elementary,2,Baltimore city,BALTIMORE,MD 
